        时间          AD值     mor值    发射机温度    发射机湿度   接收机温度  接收机湿度 
2017/01/06 17:21:08    4601       524          18           28            21          19
2017/01/06 17:21:08    249       524          18           28            21          19
2017/01/06 17:21:08    4601       12          242           35            165          52
2017/01/06 17:21:08    4601       12          242           35            165          52
2017/01/06 17:21:09    4601       12          242           35            21          19
2017/01/06 17:21:09    4601       12          242           28            21          19
2017/01/06 17:21:09    4601       12          18           28            21          19
2017/01/06 17:21:09    4601       58108          18           28            21          19
2017/01/06 17:21:09    4601       524          18           28            21          19
2017/01/06 17:21:09    249       524          18           28            21          19
2017/01/06 17:21:09    4601       12          242           35            165          52
2017/01/06 17:21:09    4601       12          242           35            165          52
2017/01/06 17:21:10    4601       12          242           35            21          19
2017/01/06 17:21:10    4601       12          242           28            21          19
2017/01/06 17:21:10    4601       12          18           28            21          19
2017/01/06 17:21:10    4601       58108          18           28            21          19
2017/01/06 17:21:10    4601       524          18           28            21          19
2017/01/06 17:21:10    249       524          18           28            21          19
2017/01/06 17:21:10    4601       12          242           35            165          52
2017/01/06 17:21:10    4601       12          242           35            165          52
2017/01/06 17:21:10    4601       12          242           35            21          19
2017/01/06 17:21:11    4601       12          242           28            21          19
2017/01/06 17:21:11    4601       12          18           28            21          19
2017/01/06 17:21:11    4601       58108          18           28            21          19
2017/01/06 17:21:11    4601       524          18           28            21          19
2017/01/06 17:21:11    249       524          18           28            21          19
2017/01/06 17:21:11    4601       12          242           35            165          52
2017/01/06 17:21:11    4601       12          242           35            165          52
2017/01/06 17:21:11    4601       12          242           35            21          19
2017/01/06 17:21:11    4601       12          242           28            21          19
2017/01/06 17:21:12    4601       12          18           28            21          19
2017/01/06 17:21:12    4601       58108          18           28            21          19
2017/01/06 17:21:12    4601       524          18           28            21          19
2017/01/06 17:21:12    249       524          18           28            21          19
2017/01/06 17:21:12    4601       12          242           35            165          52
2017/01/06 17:21:12    4601       12          242           35            165          52
2017/01/06 17:21:12    4601       12          242           35            21          19
2017/01/06 17:21:12    4601       12          242           28            21          19
2017/01/06 17:21:13    4601       12          18           28            21          19
2017/01/06 17:21:13    4601       58108          18           28            21          19
2017/01/06 17:21:13    4601       524          18           28            21          19
2017/01/06 17:21:13    249       524          18           28            21          19
2017/01/06 17:21:13    4601       12          242           35            165          52
2017/01/06 17:21:13    4601       12          242           35            165          52
2017/01/06 17:21:13    4601       12          242           35            21          19
2017/01/06 17:21:13    4601       12          242           28            21          19
2017/01/06 17:21:14    4601       12          18           28            21          19
2017/01/06 17:21:14    4601       58108          18           28            21          19
2017/01/06 17:21:14    4601       524          18           28            21          19
2017/01/06 17:21:14    249       524          18           28            21          19
2017/01/06 17:21:14    4601       12          242           35            165          52
2017/01/06 17:21:14    4601       12          242           35            165          52
2017/01/06 17:21:14    4601       12          242           35            21          19
2017/01/06 17:21:14    4601       12          242           28            21          19
2017/01/06 17:21:15    4601       12          18           28            21          19
2017/01/06 17:21:15    4601       58108          18           28            21          19
2017/01/06 17:21:15    4601       524          18           28            21          19
2017/01/06 17:21:15    249       524          18           28            21          19
2017/01/06 17:21:15    4601       12          242           35            165          52
2017/01/06 17:21:15    4601       12          242           35            165          52
2017/01/06 17:21:15    4601       12          242           35            21          19
2017/01/06 17:21:15    4601       12          242           28            21          19
2017/01/06 17:21:15    4601       12          18           28            21          19
2017/01/06 17:21:16    4601       58108          18           28            21          19
2017/01/06 17:21:16    4601       524          18           28            21          19
2017/01/06 17:21:16    249       524          18           28            21          19
2017/01/06 17:21:16    4601       12          242           35            165          52
2017/01/06 17:21:16    4601       12          242           35            165          52
2017/01/06 17:21:16    4601       12          242           35            21          19
2017/01/06 17:21:16    4601       12          242           28            21          19
2017/01/06 17:21:16    4601       12          18           28            21          19
2017/01/06 17:21:17    4601       58108          18           28            21          19
2017/01/06 17:21:17    4601       524          18           28            21          19
2017/01/06 17:21:17    249       524          18           28            21          19
2017/01/06 17:21:17    4601       12          242           35            165          52
2017/01/06 17:21:17    4601       12          242           35            165          52
2017/01/06 17:21:17    4601       12          242           35            21          19
2017/01/06 17:21:17    4601       12          242           28            21          19
2017/01/06 17:21:17    4601       12          18           28            21          19
2017/01/06 17:21:17    4601       58108          18           28            21          19
2017/01/06 17:21:18    4601       524          18           28            21          19
2017/01/06 17:21:18    249       524          18           28            21          19
2017/01/06 17:21:18    4601       12          242           35            165          52
2017/01/06 17:21:18    4601       12          242           35            165          52
2017/01/06 17:21:18    4601       12          242           35            21          19
2017/01/06 17:21:18    4601       12          242           28            21          19
2017/01/06 17:21:18    4601       12          18           28            21          19
2017/01/06 17:21:18    4601       58108          18           28            21          19
2017/01/06 17:21:19    4601       524          18           28            21          19
2017/01/06 17:21:19    249       524          18           28            21          19
2017/01/06 17:21:19    4601       12          242           35            165          52
2017/01/06 17:21:19    4601       12          242           35            165          52
2017/01/06 17:21:19    4601       12          242           35            21          19
2017/01/06 17:21:19    4601       12          242           28            21          19
2017/01/06 17:21:19    4601       12          18           28            21          19
2017/01/06 17:21:19    4601       58108          18           28            21          19
2017/01/06 17:21:19    4601       524          18           28            21          19
2017/01/06 17:21:20    249       524          18           28            21          19
2017/01/06 17:21:20    4601       12          242           35            165          52
2017/01/06 17:21:20    4601       12          242           35            165          52
2017/01/06 17:21:20    4601       12          242           35            21          19
2017/01/06 17:21:20    4601       12          242           28            21          19
2017/01/06 17:21:20    4601       12          18           28            21          19
2017/01/06 17:21:20    4601       58108          18           28            21          19
2017/01/06 17:21:20    4601       524          18           28            21          19
2017/01/06 17:21:21    249       524          18           28            21          19
2017/01/06 17:21:21    4601       12          242           35            165          52
2017/01/06 17:21:21    4601       12          242           35            165          52
2017/01/06 17:21:21    4601       12          242           35            21          19
2017/01/06 17:21:21    4601       12          242           28            21          19
2017/01/06 17:21:21    4601       12          18           28            21          19
2017/01/06 17:21:21    4601       58108          18           28            21          19
2017/01/06 17:21:21    4601       524          18           28            21          19
2017/01/06 17:21:22    249       524          18           28            21          19
2017/01/06 17:21:22    4601       12          242           35            165          52
2017/01/06 17:21:22    4601       12          242           35            165          52
2017/01/06 17:21:22    4601       12          242           35            21          19
2017/01/06 17:21:22    4601       12          242           28            21          19
2017/01/06 17:21:22    4601       12          18           28            21          19
2017/01/06 17:21:22    4601       58108          18           28            21          19
2017/01/06 17:21:22    4601       524          18           28            21          19
2017/01/06 17:21:22    249       524          18           28            21          19
2017/01/06 17:21:23    4601       12          242           35            165          52
2017/01/06 17:21:23    4601       12          242           35            165          52
2017/01/06 17:21:23    4601       12          242           35            21          19
2017/01/06 17:21:23    4601       12          242           28            21          19
2017/01/06 17:21:23    4601       12          18           28            21          19
2017/01/06 17:21:23    4601       58108          18           28            21          19
2017/01/06 17:21:23    4601       524          18           28            21          19
2017/01/06 17:21:23    249       524          18           28            21          19
2017/01/06 17:21:24    4601       12          242           35            165          52
2017/01/06 17:21:24    4601       12          242           35            165          52
2017/01/06 17:21:24    4601       12          242           35            21          19
2017/01/06 17:21:24    4601       12          242           28            21          19
2017/01/06 17:21:24    4601       12          18           28            21          19
2017/01/06 17:21:24    4601       58108          18           28            21          19
2017/01/06 17:21:24    4601       524          18           28            21          19
2017/01/06 17:21:24    249       524          18           28            21          19
2017/01/06 17:21:25    4601       12          242           35            165          52
2017/01/06 17:21:25    4601       12          242           35            165          52
2017/01/06 17:21:25    4601       12          242           35            21          19
2017/01/06 17:21:25    4601       12          242           28            21          19
2017/01/06 17:21:25    4601       12          18           28            21          19
2017/01/06 17:21:25    4601       58108          18           28            21          19
2017/01/06 17:21:25    4601       524          18           28            21          19
2017/01/06 17:21:25    249       524          18           28            21          19
2017/01/06 17:21:25    4601       12          242           35            165          52
2017/01/06 17:21:26    4601       12          242           35            165          52
2017/01/06 17:21:26    4601       12          242           35            21          19
2017/01/06 17:21:26    4601       12          242           28            21          19
2017/01/06 17:21:26    4601       12          18           28            21          19
2017/01/06 17:21:26    4601       58108          18           28            21          19
2017/01/06 17:21:26    4601       524          18           28            21          19
2017/01/06 17:21:26    249       524          18           28            21          19
2017/01/06 17:21:26    4601       12          242           35            165          52
2017/01/06 17:21:27    4601       12          242           35            165          52
2017/01/06 17:21:27    4601       12          242           35            21          19
2017/01/06 17:21:27    4601       12          242           28            21          19
2017/01/06 17:21:27    4601       12          18           28            21          19
2017/01/06 17:21:27    4601       58108          18           28            21          19
2017/01/06 17:21:27    4601       524          18           28            21          19
2017/01/06 17:21:27    249       524          18           28            21          19
2017/01/06 17:21:27    4601       12          242           35            165          52
2017/01/06 17:21:28    4601       12          242           35            165          52
2017/01/06 17:21:28    4601       12          242           35            21          19
2017/01/06 17:21:28    4601       12          242           28            21          19
2017/01/06 17:21:28    4601       12          18           28            21          19
2017/01/06 17:21:28    4601       58108          18           28            21          19
2017/01/06 17:21:28    4601       524          18           28            21          19
2017/01/06 17:21:28    249       524          18           28            21          19
2017/01/06 17:21:28    4601       12          242           35            165          52
2017/01/06 17:21:29    4601       12          242           35            165          52
2017/01/06 17:21:29    4601       12          242           35            21          19
2017/01/06 17:21:29    4601       12          242           28            21          19
2017/01/06 17:21:29    4601       12          18           28            21          19
2017/01/06 17:21:29    4601       58108          18           28            21          19
2017/01/06 17:21:29    4601       524          18           28            21          19
2017/01/06 17:21:29    249       524          18           28            21          19
2017/01/06 17:21:29    4601       12          242           35            165          52
2017/01/06 17:21:29    4601       12          242           35            165          52
2017/01/06 17:21:30    4601       12          242           35            21          19
2017/01/06 17:21:30    4601       12          242           28            21          19
2017/01/06 17:21:30    4601       12          18           28            21          19
2017/01/06 17:21:30    4601       58108          18           28            21          19
